visibility_condition,week,mean_reading_rate,std_reading_rate,mean_nonreading_rate,n_seeds
high,1,1.0,0.0,0.0,100
high,2,0.9493333333333334,0.04116158517691093,0.050666666666666665,100
high,3,0.8996666666666667,0.06470081364399745,0.10033333333333333,100
high,4,0.8463333333333334,0.08447301483722616,0.15366666666666667,100
high,5,0.7723333333333333,0.12827570965693785,0.22766666666666666,100
high,6,0.6586666666666666,0.20240528954196801,0.3413333333333333,100
high,7,0.5023333333333333,0.26906559850024736,0.49766666666666665,100
high,8,0.325,0.3022688243927506,0.675,100
high,9,0.19733333333333333,0.2722347966586646,0.8026666666666666,100
high,10,0.10833333333333332,0.21453235231730633,0.8916666666666667,100
high,11,0.051,0.15630806440768716,0.9490000000000001,100
high,12,0.024333333333333332,0.08887057892227213,0.9756666666666667,100
high,13,0.005666666666666666,0.039370752046700645,0.9943333333333334,100
high,14,0.001,0.009999999999999997,0.9990000000000001,100
high,15,0.0,0.0,1.0,100
high,16,0.0,0.0,1.0,100
high,17,0.0,0.0,1.0,100
high,18,0.0,0.0,1.0,100
high,19,0.0,0.0,1.0,100
high,20,0.0,0.0,1.0,100
low,1,1.0,0.0,0.0,100
low,2,0.9493333333333334,0.04116158517691093,0.050666666666666665,100
low,3,0.9023333333333333,0.059789191955967026,0.09766666666666668,100
low,4,0.8566666666666667,0.0693888666488711,0.14333333333333334,100
low,5,0.8076666666666666,0.07883196124972483,0.19233333333333336,100
low,6,0.7606666666666666,0.0886841075477315,0.23933333333333334,100
low,7,0.7086666666666666,0.10429819978367065,0.29133333333333333,100
low,8,0.6546666666666667,0.11839935086423808,0.3453333333333333,100
low,9,0.597,0.140712871598321,0.40299999999999997,100
low,10,0.5369999999999999,0.1581241751596556,0.46299999999999997,100
low,11,0.4746666666666667,0.1735041892972723,0.5253333333333333,100
low,12,0.4026666666666667,0.18481525340190735,0.5973333333333334,100
low,13,0.32233333333333336,0.18981088112865727,0.6776666666666666,100
low,14,0.25666666666666665,0.1882341594010824,0.7433333333333333,100
low,15,0.19633333333333333,0.17953018872719428,0.8036666666666666,100
low,16,0.14066666666666666,0.1615427863737814,0.8593333333333334,100
low,17,0.10166666666666666,0.13937289403420686,0.8983333333333333,100
low,18,0.06233333333333333,0.11127815725841382,0.9376666666666666,100
low,19,0.038,0.08964576753178947,0.9620000000000001,100
low,20,0.023666666666666666,0.07,0.9763333333333334,100
